applicant_id,age,age_group,gender,nationality,employment_type,employment_tenure_months,monthly_income,monthly_obligations,monthly_spend,existing_credit_exposure,transaction_history_months,num_previous_applications,num_late_payments,requested_amount,defaulted,requires_bureau_check,max_eligible_credit
APP-000001,58,46-60,male,arab_expat,salaried,176,18164.97,5589.68,10917.32,150012.21,34,5,0,4798.59,0,True,20000.0
APP-000002,55,46-60,male,arab_expat,self_employed,165,7871.36,1285.19,2532.42,30565.35,5,3,2,16673.39,1,True,20000.0
APP-000003,57,46-60,female,south_asian,salaried,183,6724.27,708.91,2257.35,20593.37,25,1,0,7899.38,0,True,20000.0
APP-000004,58,46-60,female,south_asian,salaried,173,7557.36,1845.99,4696.34,26372.09,6,5,0,5623.46,0,True,20000.0
APP-000005,55,46-60,male,southeast_asian,salaried,164,10250.02,730.57,6128.94,17564.0,12,4,0,723.88,0,True,20000.0
APP-000006,64,46-60,male,western,self_employed,202,12275.28,77.99,8359.23,1967.72,5,5,0,12959.52,0,True,20000.0
APP-000007,56,46-60,male,south_asian,salaried,189,24668.75,4732.04,17351.69,81313.34,11,4,0,2170.24,0,True,20000.0
APP-000008,49,46-60,female,other,salaried,141,11325.03,2456.29,7200.95,52079.77,43,3,1,1748.5,0,True,20000.0
APP-000009,19,18-25,male,south_asian,salaried,15,3000.0,294.86,2111.25,4632.93,4,3,0,3994.37,0,True,9000.0
APP-000010,64,46-60,male,southeast_asian,salaried,219,14909.07,2162.88,7921.4,78371.05,3,4,3,19986.01,1,True,20000.0
APP-000011,18,18-25,female,western,self_employed,6,7431.91,222.02,3801.45,8596.51,47,4,0,9990.09,0,True,20000.0
APP-000012,30,26-35,male,other,salaried,19,3000.0,743.85,1020.17,11585.28,28,5,0,3932.09,0,True,9000.0
APP-000013,54,46-60,male,southeast_asian,salaried,139,15085.96,1916.1,9592.33,36405.73,15,0,3,19969.86,1,True,20000.0
APP-000014,24,18-25,male,south_asian,salaried,32,12040.81,739.36,9555.79,21899.32,0,4,0,13436.08,0,True,20000.0
APP-000015,26,26-35,male,western,salaried,24,7724.82,1784.53,5825.13,20564.86,30,2,2,15536.82,1,True,20000.0
APP-000016,58,46-60,female,south_asian,salaried,168,10617.73,337.26,3407.38,7062.07,44,0,0,4596.49,0,True,20000.0
APP-000017,33,26-35,female,south_asian,salaried,75,4690.51,348.71,2372.73,10495.2,35,1,0,11185.88,0,True,14071.53
APP-000018,24,18-25,male,emirati,salaried,17,3421.09,915.85,2349.14,18806.42,24,5,0,5735.22,0,True,10263.27
APP-000019,19,18-25,male,other,salaried,9,3972.45,905.41,1956.82,24715.56,12,5,0,6436.11,0,True,11917.349999999999
APP-000020,52,46-60,female,western,salaried,148,23026.99,1574.04,10663.6,48663.42,26,1,0,18837.09,0,True,20000.0
APP-000021,61,46-60,female,south_asian,salaried,168,6526.49,2038.0,4162.68,51633.18,38,5,1,5914.49,0,True,19579.47
APP-000022,60,46-60,male,south_asian,self_employed,182,5915.41,166.41,1990.03,3733.11,30,1,0,7122.18,0,True,17746.23
APP-000023,43,36-45,male,southeast_asian,salaried,100,4006.07,331.72,1700.97,11759.5,21,3,0,11878.75,0,True,12018.210000000001
APP-000024,56,46-60,male,arab_expat,salaried,173,4688.19,452.83,3168.69,15937.75,13,4,0,3745.27,0,True,14064.57
APP-000025,46,46-60,male,south_asian,salaried,108,5192.73,1902.03,2966.64,42744.75,9,3,0,12107.13,0,True,15578.189999999999
APP-000026,62,46-60,male,western,salaried,163,11248.78,3793.42,7873.4,140107.47,23,2,0,1065.98,0,True,20000.0
APP-000027,39,36-45,female,arab_expat,salaried,96,22614.46,5348.53,8839.19,95228.92,15,3,0,15343.98,0,True,20000.0
APP-000028,42,36-45,male,other,salaried,102,10619.1,726.02,6484.74,12455.85,22,0,0,4750.31,0,True,20000.0
APP-000029,62,46-60,male,south_asian,salaried,210,11862.69,1298.8,4999.23,40153.43,14,5,0,2860.57,0,True,20000.0
APP-000030,54,46-60,female,south_asian,salaried,143,3000.0,936.16,2348.21,16946.81,38,4,0,4451.43,0,True,9000.0
APP-000031,64,46-60,male,south_asian,salaried,210,6879.3,1531.79,3181.72,37722.62,17,2,0,17666.24,0,True,20000.0
APP-000032,62,46-60,female,south_asian,salaried,195,6786.54,538.04,2094.47,10129.72,19,1,0,11840.33,0,True,20000.0
APP-000033,48,46-60,male,south_asian,unemployed,0,3361.2357885595356,310.38,2256.87,11957.8,33,1,2,3149.89,1,True,10083.707365678607
APP-000034,55,46-60,female,south_asian,salaried,164,5987.16,163.64,3452.67,5060.16,6,3,1,10524.01,0,True,17961.48
APP-000035,48,46-60,male,south_asian,freelancer,124,8259.64,1382.38,2829.67,24116.63,26,3,0,15919.45,1,True,20000.0
APP-000036,32,26-35,female,south_asian,freelancer,43,5470.0,478.78,3351.78,8589.02,3,1,0,1694.28,0,True,16410.0
APP-000037,18,18-25,male,southeast_asian,salaried,9,3000.0,203.75,1784.68,6951.37,9,0,0,6004.9,0,True,9000.0
APP-000038,35,26-35,female,emirati,salaried,55,8956.51,478.59,4928.2,11875.66,3,0,0,14823.41,0,True,20000.0
APP-000039,56,46-60,male,emirati,freelancer,171,13428.34,503.45,10179.17,7775.62,28,5,0,19396.58,0,True,20000.0
APP-000040,48,46-60,male,south_asian,salaried,131,11151.11,2462.62,8754.65,54486.09,24,0,0,11080.58,0,True,20000.0
APP-000041,44,36-45,male,south_asian,salaried,92,3453.55,133.52,1085.92,3858.82,38,5,3,634.84,1,False,10360.650000000001
APP-000042,44,36-45,male,other,freelancer,99,16019.25,4673.83,12657.17,80913.0,26,3,0,12187.86,0,True,20000.0
APP-000043,65,46-60,female,arab_expat,salaried,209,26117.85,4766.4,12342.3,126583.78,26,3,0,17457.23,0,True,20000.0
APP-000044,62,46-60,male,south_asian,self_employed,183,6111.38,594.54,2298.2,23154.2,6,4,0,2289.92,0,True,18334.14
APP-000045,46,46-60,male,western,salaried,130,23437.63,7686.95,14933.96,199927.34,45,5,0,15308.34,0,True,20000.0
APP-000046,52,46-60,male,emirati,salaried,180,16499.84,548.43,10675.41,20348.25,2,0,0,7809.4,0,True,20000.0
APP-000047,27,26-35,male,south_asian,salaried,27,7780.55,1670.59,4815.79,39738.52,32,3,0,13713.41,0,True,20000.0
APP-000048,28,26-35,male,western,unemployed,0,4070.940537380387,1034.82,1951.93,19533.44,33,0,0,8209.73,1,True,12212.82161214116
APP-000049,35,26-35,male,arab_expat,self_employed,88,36668.75,5133.18,15595.71,167687.23,36,5,0,12750.84,0,True,20000.0
APP-000050,58,46-60,male,south_asian,salaried,155,4631.85,161.04,1984.68,5594.64,23,2,0,5037.28,0,True,13895.550000000001
APP-000051,25,18-25,male,emirati,self_employed,17,10915.22,4568.98,4717.88,62630.03,17,5,0,11898.92,0,True,20000.0
APP-000052,58,46-60,female,emirati,salaried,197,22208.47,1381.95,10018.13,30746.83,6,0,0,10106.18,0,True,20000.0
APP-000053,24,18-25,male,south_asian,salaried,0,10063.82,1200.16,7214.21,34168.03,45,2,2,4736.76,1,True,20000.0
APP-000054,46,46-60,female,arab_expat,salaried,109,22681.22,5145.89,11961.14,153774.95,30,4,0,1486.28,0,True,20000.0
APP-000055,39,36-45,male,south_asian,salaried,100,4413.42,1340.78,1643.31,18636.53,12,1,1,2179.21,0,True,13240.26
APP-000056,40,36-45,female,south_asian,salaried,88,10958.33,2162.28,3885.02,54306.01,45,0,0,18220.66,0,True,20000.0
APP-000057,60,46-60,male,south_asian,freelancer,195,6103.48,1745.04,3687.41,20888.94,13,5,0,13183.75,0,True,18310.44
APP-000058,42,36-45,female,south_asian,salaried,91,26575.84,4698.79,13972.98,79197.2,16,3,0,14727.44,0,True,20000.0
APP-000059,38,36-45,male,southeast_asian,salaried,92,29906.37,5305.14,10799.66,109328.02,31,3,0,14560.68,0,True,20000.0
APP-000060,36,36-45,male,south_asian,salaried,71,4715.32,926.34,3712.25,32007.65,29,5,0,8810.32,0,True,14145.96
APP-000061,60,46-60,female,south_asian,salaried,179,20273.55,2543.34,13645.23,41848.08,20,2,0,6576.93,0,True,20000.0
APP-000062,38,36-45,female,south_asian,salaried,83,9403.94,1058.86,4105.6,34569.97,5,3,3,13730.48,1,True,20000.0
APP-000063,49,46-60,male,south_asian,salaried,133,27066.83,3132.64,9868.37,81378.06,11,4,0,16220.9,0,True,20000.0
APP-000064,22,18-25,male,arab_expat,salaried,0,5783.97,1046.06,4529.43,15854.29,45,3,0,15999.88,0,True,17351.91
